ordinal	full_sha	subject	dashboard_scope	tags	attention	evidence_paths	migration_action	final_disposition
001	66307826afde6bd410bde1fa386cdf32b713f90b	Migrate Dashboard from Nextjs to TanStack (#79)	mixed	MIGRATION,UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR,ENV_BUILD_DEPLOY,STALE_NEXT,TEST_DOCS	3	apps/frontend/dashboard/package.json; apps/frontend/dashboard/next.config.ts; apps/frontend/dashboard/src/app; apps/frontend/dashboard/src/routes	Do not revert or replay this patch. Keep the current feature tree and reconstruct a Next App Router shell, using deleted Next files only as historical reference.	blocking migration requirement
002	0aeac998474284e5970642ba2974e03a47f9878b	fix(dashboard): declare missing deps and drop NEXT_PUBLIC_ env	mixed	UNIVERSAL_REACT,ENV_BUILD_DEPLOY,SHARED_BACKEND	3	apps/frontend/dashboard/Dockerfile; apps/frontend/dashboard/package.json; apps/frontend/dashboard/vite.config.ts; packages/auth/src/client.ts	Preserve the UI and declared dependencies; map dashboard VITE variables back to NEXT_PUBLIC variables while retaining the shared auth client's dual Vite/Next fallback.	blocking migration requirement
003	a8dbf91c20360a716e2d4c4bbe256d43413e7f28	fix(dashboard): allow all hosts behind reverse proxies	dashboard-only	ENV_BUILD_DEPLOY	2	apps/frontend/dashboard/vite.config.ts	Translate the reverse-proxy host requirement to Next allowed origins and production proxy configuration; do not copy Vite allowedHosts.	semantic parity scenario
004	0ebb9b0c12924784e61c69083d8622031e06df19	fix(links): wrap dynamic routes in Suspense for cacheComponents	none	ROUTER_LAYOUT,CLIENT_SSR	0	apps/frontend/links/src/app/layout.tsx; apps/frontend/links/src/app/preferences/[token]/page.tsx	Outside the dashboard; retain on main with no migration work.	preserved by ancestry
005	b9d55abff91d09ea242864836ed723ec215a4efa	fix(dashboard): honor Coolify PORT for Nitro server	dashboard-only	ENV_BUILD_DEPLOY	3	apps/frontend/dashboard/Dockerfile	Reimplement dynamic PORT and health-check behavior in the Next standalone image, using a dedicated dashboard health route.	blocking migration requirement
006	74044f9c34e2e40ed1074d6c3d9f992dd83e4790	chore(deps): bump dompurify in /apps/frontend/dashboard (#80)	dashboard-only	ENV_BUILD_DEPLOY	1	apps/frontend/dashboard/package.json	Keep the upgraded DOMPurify version when rebuilding the Next dependency manifest.	mechanical port
007	3db63e6875d1cf688f4db6a1a342d604e743707a	fix build bugs	dashboard-only	ROUTER_LAYOUT,ENV_BUILD_DEPLOY	3	apps/frontend/dashboard/server/plugins/restore-dashboard-basepath.ts; apps/frontend/dashboard/vite.config.ts	Do not port the Nitro plugin. Preserve its path/asset requirements by making the proxy pass /dashboard intact and testing deep links and static assets.	blocking migration requirement
008	db634ba4b98f6e6e7e3c7556d86949c0a4b5b0d9	feat(web): redirect logged-in homepage visitors to dashboard	none	ROUTER_LAYOUT,ENV_BUILD_DEPLOY	0	apps/frontend/web/src/proxy.ts	Outside the dashboard; preserve the marketing-home session redirect unchanged.	preserved by ancestry
009	7746d787699cd69d61615ba0ddaa9d22c4b55127	refactor(inbox): drop direct S3 config in favor of upload service	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/inbox/src/inbox.config.ts; apps/backend/inbox/src/lib/s3.ts	Backend-only and already present in current main; no Next migration action.	preserved by ancestry
010	207b40708b42bd2bf7571014d3705a7d41322e2d	fix logs config	none	SHARED_BACKEND,ENV_BUILD_DEPLOY,TEST_DOCS	0	apps/backend/logs/src/logs.config.ts; apps/frontend/docs/content/docs/setup/backend/logs.mdx	Backend/docs-only; no dashboard migration action.	preserved by ancestry
